Microrganismo,CÃ³digo
Kocuria rosea,1
Staphylococcus epidermidis,2
Staphylococcus haemolyticus,3
Staphylococcus hominis,4
Staphylococcus saprophyticus,5
Staphylococcus lugdunensis,6
Staphylococcus capitis,7
Staphylococcus warneri,8
Staphylococcus simulans,9
Staphylococcus cohnii,10
Staphylococcus xylosus,11
Staphylococcus saccharolyticus,12
Staphylococcus pasteuri,13
Staphylococcus arlettae,14
Staphylococcus auricularis,15
Staphylococcus caprae,16
Staphylococcus carnosus,17
Staphylococcus casei,18
Staphylococcus chromogenes,19
Staphylococcus condimenti,20
Staphylococcus delphini,21
Staphylococcus devriesei,22
Staphylococcus equorum,23
Staphylococcus felis,24
Staphylococcus fleurettii,25
Staphylococcus gallinarum,26
Staphylococcus hyicus,27
Staphylococcus intermedius,28
Staphylococcus kloosii,29
Staphylococcus lentus,30
Staphylococcus massiliensis,31
Staphylococcus microti,32
Staphylococcus muscae,33
Staphylococcus nepalensis,34
Staphylococcus pettenkoferi,35
Staphylococcus piscifermentans,36
Staphylococcus pseudintermedius,37
Staphylococcus schleiferi,38
Staphylococcus sciuri,39
Staphylococcus simiae,40
Staphylococcus stepanovicii,41
Staphylococcus succinus,42
Staphylococcus vitulinus,43
Bacillus cereus group,44
Bacillus cereus,45
Bacillus cereus/thuringiensis/mycoides,46
Bacillus cereus/Bacillus thuringiensis,47
Aeromonas hydrophila,48
Micrococcus lylae,49
Micrococcus luteus,50
Cutibacterium acnes,51
Cutibacterium avidum,52
Cutibacterium granulosum,53
Cutibacterium namnetense,54
Cutibacterium modestum,55
Corynebacterium amycolatum,56
Corynebacterium diphtheriae,57
Corynebacterium minutissimum,58
Corynebacterium pseudodiphtheriticum,59
Corynebacterium striatum,60
Corynebacterium jeikeium,61
Corynebacterium propinquum,62
Corynebacterium xerosis,63
Corynebacterium urealyticum,64
Corynebacterium renale,65
Outro,66
